full_path,relative_path,filename,year,date,DOY,MODIS_composite_index,tile_or_polygon_id,start_year,end_year,first_date,last_date,band_count,dtype,nodata,width,height,CRS,transform,pixel_size_x,pixel_size_y,bounds,grid_offset_x,grid_offset_y,compression,file_size_bytes,minimum,maximum,mean,valid_fraction,date_count,date_sequence_sha256,readable,error
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X019-Y030_2001_2025.tif,EVI_Series_ID_EU_150-X019-Y030_2001_2025.tif,EVI_Series_ID_EU_150-X019-Y030_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X019-Y030,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,676,680,EPSG:3035,"[2477750.0,250.0,0.0,2090250.0,0.0,-250.0]",250.0,250.0,"[2477750.0,1920250.0,2646750.0,2090250.0]",0.0,0.0,DEFLATE,7956995,-0.08,0.91,0.33053468089834465,0.004093093913043478,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X019-Y031_2001_2025.tif,EVI_Series_ID_EU_150-X019-Y031_2001_2025.tif,EVI_Series_ID_EU_150-X019-Y031_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X019-Y031,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,676,681,EPSG:3035,"[2497000.0,250.0,0.0,1942750.0,0.0,-250.0]",250.0,250.0,"[2497000.0,1772500.0,2666000.0,1942750.0]",0.0,0.0,DEFLATE,5040403,-0.104,0.775,0.28026629048543716,0.0014816170434782609,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X019-Y032_2001_2025.tif,EVI_Series_ID_EU_150-X019-Y032_2001_2025.tif,EVI_Series_ID_EU_150-X019-Y032_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X019-Y032,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,674,680,EPSG:3035,"[2516250.0,250.0,0.0,1795000.0,0.0,-250.0]",250.0,250.0,"[2516250.0,1625000.0,2684750.0,1795000.0]",0.0,0.0,DEFLATE,25777333,-0.093,0.886,0.28217575285432794,0.02373055652173913,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X020-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y029_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X020-Y029,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,677,680,EPSG:3035,"[2607750.0,250.0,0.0,2260000.0,0.0,-250.0]",250.0,250.0,"[2607750.0,2090000.0,2777000.0,2260000.0]",0.0,0.0,DEFLATE,66917563,-0.083,0.912,0.32291957560854323,0.06923878260869565,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X020-Y030_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y030_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y030_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X020-Y030,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,676,680,EPSG:3035,"[2627250.0,250.0,0.0,2112500.0,0.0,-250.0]",250.0,250.0,"[2627250.0,1942500.0,2796250.0,2112500.0]",0.0,0.0,DEFLATE,460082473,-0.104,0.996,0.32249376440769045,0.5579749565217391,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X020-Y031_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y031_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y031_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X020-Y031,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,675,680,EPSG:3035,"[2646500.0,250.0,0.0,1964750.0,0.0,-250.0]",250.0,250.0,"[2646500.0,1794750.0,2815250.0,1964750.0]",0.0,0.0,DEFLATE,577654397,-0.094,0.994,0.2886528401274752,0.6970966956521739,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X020-Y032_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y032_2001_2025.tif,EVI_Series_ID_EU_150-X020-Y032_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X020-Y032,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,673,680,EPSG:3035,"[2665750.0,250.0,0.0,1816750.0,0.0,-250.0]",250.0,250.0,"[2665750.0,1646750.0,2834000.0,1816750.0]",0.0,0.0,DEFLATE,270831841,-0.129,0.929,0.25014442693802136,0.3308102608695652,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X021-Y027_2001_2025.tif,EVI_Series_ID_EU_150-X021-Y027_2001_2025.tif,EVI_Series_ID_EU_150-X021-Y027_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X021-Y027,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,679,680,EPSG:3035,"[2717250.0,250.0,0.0,2577500.0,0.0,-250.0]",250.0,250.0,"[2717250.0,2407500.0,2887000.0,2577500.0]",0.0,0.0,DEFLATE,68590811,-0.111,0.976,0.40218159980992524,0.07180700869565217,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X021-Y028_2001_2025.tif,EVI_Series_ID_EU_150-X021-Y028_2001_2025.tif,EVI_Series_ID_EU_150-X021-Y028_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X021-Y028,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,678,680,EPSG:3035,"[2737250.0,250.0,0.0,2429750.0,0.0,-250.0]",250.0,250.0,"[2737250.0,2259750.0,2906750.0,2429750.0]",0.0,0.0,DEFLATE,516047269,-0.117,0.993,0.40197062026986635,0.6147450434782609,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
A:\_BioGeo\liuxianx\Co_authors\ana\output\MODIS_EU_EVI\2001_2025\EVI_Series_ID_EU_150-X021-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X021-Y029_2001_2025.tif,EVI_Series_ID_EU_150-X021-Y029_2001_2025.tif,2001-2025,2001-01-01..2025-12-19,band-level; see time_index.csv,band-level; see time_index.csv,EU_150-X021-Y029,2001,2025,2001-01-01,2025-12-19,575,Float32,-Infinity,677,680,EPSG:3035,"[2757250.0,250.0,0.0,2282250.0,0.0,-250.0]",250.0,250.0,"[2757250.0,2112250.0,2926500.0,2282250.0]",0.0,0.0,DEFLATE,630749533,-0.088,0.988,0.30519261121948194,0.7660215652173913,575,6e3c1cfc064026514baec0512c4ad3d696aa72a6731b6323ca7821a6643b5be1,True,
