band_index,date,year,DOY,MODIS_composite_index,days_since_base_plus_one
1,2001-01-01,2001,1,1,1
2,2001-01-17,2001,17,2,17
3,2001-02-02,2001,33,3,33
4,2001-02-18,2001,49,4,49
5,2001-03-06,2001,65,5,65
6,2001-03-22,2001,81,6,81
7,2001-04-07,2001,97,7,97
8,2001-04-23,2001,113,8,113
9,2001-05-09,2001,129,9,129
10,2001-05-25,2001,145,10,145
11,2001-06-10,2001,161,11,161
12,2001-06-26,2001,177,12,177
13,2001-07-12,2001,193,13,193
14,2001-07-28,2001,209,14,209
15,2001-08-13,2001,225,15,225
16,2001-08-29,2001,241,16,241
17,2001-09-14,2001,257,17,257
18,2001-09-30,2001,273,18,273
19,2001-10-16,2001,289,19,289
20,2001-11-01,2001,305,20,305
21,2001-11-17,2001,321,21,321
22,2001-12-03,2001,337,22,337
23,2001-12-19,2001,353,23,353
24,2002-01-01,2002,1,1,366
25,2002-01-17,2002,17,2,382
26,2002-02-02,2002,33,3,398
27,2002-02-18,2002,49,4,414
28,2002-03-06,2002,65,5,430
29,2002-03-22,2002,81,6,446
30,2002-04-07,2002,97,7,462
31,2002-04-23,2002,113,8,478
32,2002-05-09,2002,129,9,494
33,2002-05-25,2002,145,10,510
34,2002-06-10,2002,161,11,526
35,2002-06-26,2002,177,12,542
36,2002-07-12,2002,193,13,558
37,2002-07-28,2002,209,14,574
38,2002-08-13,2002,225,15,590
39,2002-08-29,2002,241,16,606
40,2002-09-14,2002,257,17,622
41,2002-09-30,2002,273,18,638
42,2002-10-16,2002,289,19,654
43,2002-11-01,2002,305,20,670
44,2002-11-17,2002,321,21,686
45,2002-12-03,2002,337,22,702
46,2002-12-19,2002,353,23,718
47,2003-01-01,2003,1,1,731
48,2003-01-17,2003,17,2,747
49,2003-02-02,2003,33,3,763
50,2003-02-18,2003,49,4,779
51,2003-03-06,2003,65,5,795
52,2003-03-22,2003,81,6,811
53,2003-04-07,2003,97,7,827
54,2003-04-23,2003,113,8,843
55,2003-05-09,2003,129,9,859
56,2003-05-25,2003,145,10,875
57,2003-06-10,2003,161,11,891
58,2003-06-26,2003,177,12,907
59,2003-07-12,2003,193,13,923
60,2003-07-28,2003,209,14,939
61,2003-08-13,2003,225,15,955
62,2003-08-29,2003,241,16,971
63,2003-09-14,2003,257,17,987
64,2003-09-30,2003,273,18,1003
65,2003-10-16,2003,289,19,1019
66,2003-11-01,2003,305,20,1035
67,2003-11-17,2003,321,21,1051
68,2003-12-03,2003,337,22,1067
69,2003-12-19,2003,353,23,1083
70,2004-01-01,2004,1,1,1096
71,2004-01-17,2004,17,2,1112
72,2004-02-02,2004,33,3,1128
73,2004-02-18,2004,49,4,1144
74,2004-03-05,2004,65,5,1160
75,2004-03-21,2004,81,6,1176
76,2004-04-06,2004,97,7,1192
77,2004-04-22,2004,113,8,1208
78,2004-05-08,2004,129,9,1224
79,2004-05-24,2004,145,10,1240
80,2004-06-09,2004,161,11,1256
81,2004-06-25,2004,177,12,1272
82,2004-07-11,2004,193,13,1288
83,2004-07-27,2004,209,14,1304
84,2004-08-12,2004,225,15,1320
85,2004-08-28,2004,241,16,1336
86,2004-09-13,2004,257,17,1352
87,2004-09-29,2004,273,18,1368
88,2004-10-15,2004,289,19,1384
89,2004-10-31,2004,305,20,1400
90,2004-11-16,2004,321,21,1416
91,2004-12-02,2004,337,22,1432
92,2004-12-18,2004,353,23,1448
93,2005-01-01,2005,1,1,1462
94,2005-01-17,2005,17,2,1478
95,2005-02-02,2005,33,3,1494
96,2005-02-18,2005,49,4,1510
97,2005-03-06,2005,65,5,1526
98,2005-03-22,2005,81,6,1542
99,2005-04-07,2005,97,7,1558
100,2005-04-23,2005,113,8,1574
101,2005-05-09,2005,129,9,1590
102,2005-05-25,2005,145,10,1606
103,2005-06-10,2005,161,11,1622
104,2005-06-26,2005,177,12,1638
105,2005-07-12,2005,193,13,1654
106,2005-07-28,2005,209,14,1670
107,2005-08-13,2005,225,15,1686
108,2005-08-29,2005,241,16,1702
109,2005-09-14,2005,257,17,1718
110,2005-09-30,2005,273,18,1734
111,2005-10-16,2005,289,19,1750
112,2005-11-01,2005,305,20,1766
113,2005-11-17,2005,321,21,1782
114,2005-12-03,2005,337,22,1798
115,2005-12-19,2005,353,23,1814
116,2006-01-01,2006,1,1,1827
117,2006-01-17,2006,17,2,1843
118,2006-02-02,2006,33,3,1859
119,2006-02-18,2006,49,4,1875
120,2006-03-06,2006,65,5,1891
121,2006-03-22,2006,81,6,1907
122,2006-04-07,2006,97,7,1923
123,2006-04-23,2006,113,8,1939
124,2006-05-09,2006,129,9,1955
125,2006-05-25,2006,145,10,1971
126,2006-06-10,2006,161,11,1987
127,2006-06-26,2006,177,12,2003
128,2006-07-12,2006,193,13,2019
129,2006-07-28,2006,209,14,2035
130,2006-08-13,2006,225,15,2051
131,2006-08-29,2006,241,16,2067
132,2006-09-14,2006,257,17,2083
133,2006-09-30,2006,273,18,2099
134,2006-10-16,2006,289,19,2115
135,2006-11-01,2006,305,20,2131
136,2006-11-17,2006,321,21,2147
137,2006-12-03,2006,337,22,2163
138,2006-12-19,2006,353,23,2179
139,2007-01-01,2007,1,1,2192
140,2007-01-17,2007,17,2,2208
141,2007-02-02,2007,33,3,2224
