metric,reference_valid,comparison_valid,paired_values,mean_difference,median_difference,median_absolute_difference,p05_difference,p95_difference
TRS2.sos,8317629,8142947,7997813,-0.7240816950798035,0.0,0.0,-4.0,2.0
TRS2.eos,8258127,7994605,7837498,0.39768698811531067,0.0,1.0,-6.0,8.0
TRS5.sos,8319456,8146075,8002149,-0.011182371526956558,0.0,0.0,-2.0,5.0
TRS5.eos,8272444,8053555,7889579,-0.17796805500984192,0.0,0.0,-12.0,4.0
TRS6.sos,8319769,8146894,8003294,0.16412554681301117,0.0,0.0,-2.0,6.0
TRS6.eos,8273648,8061817,7896954,-0.41383349895477295,0.0,0.0,-15.0,4.0
DER.sos,8319552,8147856,8004178,0.3417207896709442,0.0,0.0,-2.0,6.0
DER.pos,8321173,8145614,7999528,-2.7460989952087402,0.0,2.0,-31.0,15.0
DER.eos,8274248,8053664,7891021,-0.07201869040727615,0.0,1.0,-16.0,6.0
UD,8317858,8146044,8001396,-0.2057427167892456,0.0,0.0,-3.0,3.0
SD,8320343,8148298,8004876,1.0663126707077026,0.0,0.0,-3.0,12.0
DD,8278858,8066854,7904087,-4.558109760284424,0.0,1.0,-69.0,9.0
RD,8268657,8034243,7871500,0.4248538315296173,0.0,1.0,-8.0,7.0
Greenup,8317858,8146072,8001434,-0.2052503377199173,0.0,0.0,-3.0,3.0
Maturity,8320343,8148285,8004857,1.0657298564910889,0.0,0.0,-3.0,12.0
Senescence,8278859,8066867,7904094,-4.557891368865967,0.0,1.0,-69.0,9.0
Dormancy,8268657,8034236,7871506,0.424796462059021,0.0,1.0,-8.0,7.0
LOS,8321160,8145571,7999479,0.8409254550933838,0.0,1.00274658203125,-22.060440063476562,10.934066772460938
POP,8321173,8145614,7999528,-2.7460989952087402,0.0,2.0,-31.0,15.0
R2,8321173,8145614,7999528,0.0027408269234001637,0.00022095441818237305,0.001495361328125,-0.029751833528280258,0.10334187746047974
RMSE,8321173,8145614,7999528,-0.0019391323439776897,-8.742325007915497e-05,0.0005779638886451721,-0.026818057522177696,0.005702195689082146
